Review,Liked,Review_cleaned,Review_lemmatized,Review_tokenized,Review_Length,polarity,sentiment
"I'd rather eat airline food, seriously.",0,id rather eat food seriously,id rather eat food seriously,"['id', 'rather', 'eat', 'food', 'seriously']",39,-0.1779,0
Cant say enough good things about this place.,1,cant say enough good things place,cant say enough good thing place,"['cant', 'say', 'enough', 'good', 'thing', 'place']",45,-0.3412,0
The ambiance was incredible.,1,the ambiance incredible,the ambiance incredible,"['the', 'ambiance', 'incredible']",28,0.0,0
The waitress and manager are so friendly.,1,the waitress manager friendly,the waitress manager friendly,"['the', 'waitress', 'manager', 'friendly']",41,0.4939,1
I would not recommend this place.,0,i would not recommend place,i would not recommend place,"['i', 'would', 'not', 'recommend', 'place']",33,-0.2755,0
Overall I wasn't very impressed with Noca.,0,overall i wasnt impressed,overall i wasnt impressed,"['overall', 'i', 'wasnt', 'impressed']",42,-0.3724,0
My gyro was basically lettuce only.,0,my basically only,my basically only,"['my', 'basically', 'only']",35,0.0,0
Terrible service!,0,terrible service,terrible service,"['terrible', 'service']",17,-0.4767,0
Thoroughly disappointed!,0,disappointed,disappointed,['disappointed'],24,-0.4767,0
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1,i dont much pasta i love homemade hand made thin pizzas here,i dont much pasta i love homemade hand made thin pizza here,"['i', 'dont', 'much', 'pasta', 'i', 'love', 'homemade', 'hand', 'made', 'thin', 'pizza', 'here']",88,-0.0433,1
"Give it a try, you will be happy you did.",1,give try happy did,give try happy did,"['give', 'try', 'happy', 'did']",41,0.5719,1
By far the BEST cheesecurds we have ever had!,1,by far best ever had,by far best ever had,"['by', 'far', 'best', 'ever', 'had']",45,0.6369,1
Reasonably priced also!,1,reasonably priced also,reasonably priced also,"['reasonably', 'priced', 'also']",23,0.0,0
Everything was perfect the night we were in.,1,everything perfect night in,everything perfect night in,"['everything', 'perfect', 'night', 'in']",44,0.5719,1
The food is very good for your typical bar food.,1,the food good bar food,the food good bar food,"['the', 'food', 'good', 'bar', 'food']",48,0.4404,1
it was a drive to get there.,0,drive get there,drive get there,"['drive', 'get', 'there']",28,0.0,0
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1,at first lovely bakery cafe nice ambiance clean friendly staff,at first lovely bakery cafe nice ambiance clean friendly staff,"['at', 'first', 'lovely', 'bakery', 'cafe', 'nice', 'ambiance', 'clean', 'friendly', 'staff']",82,0.91,1
"Anyway, I do not think i will go back there.",0,anyway i not think i go back there,anyway i not think i go back there,"['anyway', 'i', 'not', 'think', 'i', 'go', 'back', 'there']",44,0.0,0
"Point your finger at any item on the menu, order it and you won't be disappointed.",1,point menu order wont disappointed,point menu order wont disappointed,"['point', 'menu', 'order', 'wont', 'disappointed']",82,0.3724,1
"Oh this is such a thing of beauty, this restaurant.",1,oh thing restaurant,oh thing restaurant,"['oh', 'thing', 'restaurant']",51,0.0,1
If you haven't gone here GO NOW!,1,if gone go now,if gone go now,"['if', 'gone', 'go', 'now']",32,0.0,0
"A greasy, unhealthy meal.",0,a meal,a meal,"['a', 'meal']",25,0.0,0
first time there and might just be the last.,0,first time last,first time last,"['first', 'time', 'last']",44,0.0,0
Those burgers were amazing.,1,burgers amazing,burger amazing,"['burger', 'amazing']",27,0.5859,1
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0,not say word food minutes late,not say word food minute late,"['not', 'say', 'word', 'food', 'minute', 'late']",92,0.0,1
And it was way to expensive.,0,and way,and way,"['and', 'way']",28,0.0,0
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1,be sure order dessert even need die for,be sure order dessert even need die for,"['be', 'sure', 'order', 'dessert', 'even', 'need', 'die', 'for']",107,-0.3818,0
This was my first time and I can't wait until the next.,1,this first time i cant wait until next,this first time i cant wait until next,"['this', 'first', 'time', 'i', 'cant', 'wait', 'until', 'next']",55,0.0,0
The bartender was also nice.,1,the bartender also nice,the bartender also nice,"['the', 'bartender', 'also', 'nice']",28,0.4215,1
Everything was good and tasty!,1,everything good tasty,everything good tasty,"['everything', 'good', 'tasty']",30,0.4404,1
This place is two thumbs up....way up.,1,this place two thumbs up,this place two thumb up,"['this', 'place', 'two', 'thumb', 'up']",38,0.0,0
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1,the best place vegas breakfast just check sat,the best place vega breakfast just check sat,"['the', 'best', 'place', 'vega', 'breakfast', 'just', 'check', 'sat']",68,0.6369,1
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1,if love authentic mexican food want whole interesting yet delicious choose from need try place,if love authentic mexican food want whole interesting yet delicious choose from need try place,"['if', 'love', 'authentic', 'mexican', 'food', 'want', 'whole', 'interesting', 'yet', 'delicious', 'choose', 'from', 'need', 'try', 'place']",137,0.8979,1
Terrible management.,0,terrible management,terrible management,"['terrible', 'management']",20,-0.4767,0
An excellent new restaurant by an experienced Frenchman.,1,an excellent new restaurant,an excellent new restaurant,"['an', 'excellent', 'new', 'restaurant']",56,0.5719,1
If there were zero stars I would give it zero stars.,0,if zero stars i would give zero stars,if zero star i would give zero star,"['if', 'zero', 'star', 'i', 'would', 'give', 'zero', 'star']",52,0.0,0
"Great steak, great sides, great wine, amazing desserts.",1,great steak great sides great wine amazing desserts,great steak great side great wine amazing dessert,"['great', 'steak', 'great', 'side', 'great', 'wine', 'amazing', 'dessert']",55,0.9524,1
Worst martini ever!,0,worst ever,worst ever,"['worst', 'ever']",19,-0.6249,0
The steak and the shrimp are in my opinion the best entrees at GC.,1,the steak shrimp best entrees,the steak shrimp best entree,"['the', 'steak', 'shrimp', 'best', 'entree']",66,0.6369,1
I had the opportunity today to sample your amazing pizzas!,1,i opportunity today amazing pizzas,i opportunity today amazing pizza,"['i', 'opportunity', 'today', 'amazing', 'pizza']",58,0.765,1
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0,we waited minutes seated although tables folks waiting,we waited minute seated although table folk waiting,"['we', 'waited', 'minute', 'seated', 'although', 'table', 'folk', 'waiting']",115,0.0,0
The yellowtail carpaccio was melt in your mouth fresh.,1,the melt mouth fresh,the melt mouth fresh,"['the', 'melt', 'mouth', 'fresh']",54,0.3182,1
I won't try going back there even if it's empty.,0,i wont try going back even empty,i wont try going back even empty,"['i', 'wont', 'try', 'going', 'back', 'even', 'empty']",48,-0.2023,0
"No, I'm going to eat the potato that I found some strangers hair in it.",0,no im going eat potato i found hair it,no im going eat potato i found hair it,"['no', 'im', 'going', 'eat', 'potato', 'i', 'found', 'hair', 'it']",71,-0.296,0
Just spicy enough.. Perfect actually.,1,just spicy enough perfect actually,just spicy enough perfect actually,"['just', 'spicy', 'enough', 'perfect', 'actually']",37,0.5719,1
Last night was my second time dining here and I was so happy I decided to go back!,1,last night second time dining i happy i decided go back,last night second time dining i happy i decided go back,"['last', 'night', 'second', 'time', 'dining', 'i', 'happy', 'i', 'decided', 'go', 'back']",82,0.5719,1
"not even a ""hello, we will be right with you.""",0,not even right you,not even right you,"['not', 'even', 'right', 'you']",46,0.0,0
The desserts were a bit strange.,0,the desserts bit,the dessert bit,"['the', 'dessert', 'bit']",32,0.0,0
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1,my boyfriend i came first time recent trip vegas could not pleased quality food service,my boyfriend i came first time recent trip vega could not pleased quality food service,"['my', 'boyfriend', 'i', 'came', 'first', 'time', 'recent', 'trip', 'vega', 'could', 'not', 'pleased', 'quality', 'food', 'service']",148,-0.3412,1
"I really do recommend this place, you can go wrong with this donut place!",1,i really recommend place go wrong place,i really recommend place go wrong place,"['i', 'really', 'recommend', 'place', 'go', 'wrong', 'place']",73,-0.079,0
Nice ambiance.,1,nice ambiance,nice ambiance,"['nice', 'ambiance']",14,0.4215,1
I would recommend saving room for this!,1,i would recommend room this,i would recommend room this,"['i', 'would', 'recommend', 'room', 'this']",39,0.3612,1
I guess maybe we went on an off night but it was disgraceful.,0,i guess maybe went night,i guess maybe went night,"['i', 'guess', 'maybe', 'went', 'night']",61,0.0,0
"However, my recent experience at this particular location was not so good.",0,however recent experience location not good,however recent experience location not good,"['however', 'recent', 'experience', 'location', 'not', 'good']",74,-0.3412,0
"I know this is not like the other restaurants at all, something is very off here!",0,i know not like restaurants all something here,i know not like restaurant all something here,"['i', 'know', 'not', 'like', 'restaurant', 'all', 'something', 'here']",81,-0.2755,0
AVOID THIS ESTABLISHMENT!,0,avoid this establishment,avoid this establishment,"['avoid', 'this', 'establishment']",25,-0.296,0
I think this restaurant suffers from not trying hard enough.,0,i think restaurant not trying hard enough,i think restaurant not trying hard enough,"['i', 'think', 'restaurant', 'not', 'trying', 'hard', 'enough']",60,0.0762,0
All of the tapas dishes were delicious!,1,all tapas dishes delicious,all tapa dish delicious,"['all', 'tapa', 'dish', 'delicious']",39,0.5719,1
I *heart* this place.,1,i heart place,i heart place,"['i', 'heart', 'place']",21,0.0,0
My salad had a bland vinegrette on the baby greens and hearts of Palm.,0,my salad bland vinegrette baby,my salad bland vinegrette baby,"['my', 'salad', 'bland', 'vinegrette', 'baby']",70,0.0,0
After two I felt disgusting.,0,after two i felt disgusting,after two i felt disgusting,"['after', 'two', 'i', 'felt', 'disgusting']",28,-0.5267,0
A good time!,1,a good time,a good time,"['a', 'good', 'time']",12,0.4404,1
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1,i believe place great stop huge belly sushi,i believe place great stop huge belly sushi,"['i', 'believe', 'place', 'great', 'stop', 'huge', 'belly', 'sushi']",94,0.6369,1
Generous portions and great taste.,1,generous portions great taste,generous portion great taste,"['generous', 'portion', 'great', 'taste']",34,0.8126,1
I will never go back to this place and will never ever recommended this place to anyone!,0,i never go back place never ever recommended place anyone,i never go back place never ever recommended place anyone,"['i', 'never', 'go', 'back', 'place', 'never', 'ever', 'recommended', 'place', 'anyone']",88,-0.1511,0
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0,the servers went back several times not even much helped,the server went back several time not even much helped,"['the', 'server', 'went', 'back', 'several', 'time', 'not', 'even', 'much', 'helped']",93,0.0,0
Food was delicious!,1,food delicious,food delicious,"['food', 'delicious']",19,0.5719,1
AN HOUR... seriously?,0,an hour seriously,an hour seriously,"['an', 'hour', 'seriously']",21,-0.1779,0
I consider this theft.,0,i,i,['i'],22,0.0,0
Eew... This location needs a complete overhaul.,0,this location needs,this location need,"['this', 'location', 'need']",47,0.0,0
We recently witnessed her poor quality of management towards other guests as well.,0,we recently poor quality management towards well,we recently poor quality management towards well,"['we', 'recently', 'poor', 'quality', 'management', 'towards', 'well']",82,-0.25,0
Waited and waited and waited.,0,waited waited waited,waited waited waited,"['waited', 'waited', 'waited']",29,0.0,0
"He also came back to check on us regularly, excellent service.",1,he also came back check us excellent service,he also came back check u excellent service,"['he', 'also', 'came', 'back', 'check', 'u', 'excellent', 'service']",62,0.5719,1
Our server was super nice and checked on us many times.,1,our server super nice checked us many times,our server super nice checked u many time,"['our', 'server', 'super', 'nice', 'checked', 'u', 'many', 'time']",55,0.7717,1
"The pizza tasted old, super chewy in not a good way.",0,the pizza tasted old super chewy not good way,the pizza tasted old super chewy not good way,"['the', 'pizza', 'tasted', 'old', 'super', 'chewy', 'not', 'good', 'way']",52,0.3599,1
I swung in to give them a try but was deeply disappointed.,0,i give try disappointed,i give try disappointed,"['i', 'give', 'try', 'disappointed']",58,-0.4767,0
Service was good and the company was better!,1,service good company better,service good company better,"['service', 'good', 'company', 'better']",44,0.7003,1
The staff are also very friendly and efficient.,1,the staff also friendly,the staff also friendly,"['the', 'staff', 'also', 'friendly']",47,0.4939,1
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1,as service im fan quick youre served nice folks,a service im fan quick youre served nice folk,"['a', 'service', 'im', 'fan', 'quick', 'youre', 'served', 'nice', 'folk']",93,0.6249,1
Boy was that sucker dry!!.,0,boy dry,boy dry,"['boy', 'dry']",26,0.0,0
Over rated.,0,rated,rated,['rated'],11,0.0,0
"If you look for authentic Thai food, go else where.",0,if look authentic thai food go else,if look authentic thai food go else,"['if', 'look', 'authentic', 'thai', 'food', 'go', 'else']",51,0.0,0
Their steaks are 100% recommended!,1,their steaks recommended,their steak recommended,"['their', 'steak', 'recommended']",34,0.2023,1
After I pulled up my car I waited for another 15 minutes before being acknowledged.,0,after i pulled car i waited another minutes acknowledged,after i pulled car i waited another minute acknowledged,"['after', 'i', 'pulled', 'car', 'i', 'waited', 'another', 'minute', 'acknowledged']",83,0.0,0
Great food and great service in a clean and friendly setting.,1,great food great service clean friendly setting,great food great service clean friendly setting,"['great', 'food', 'great', 'service', 'clean', 'friendly', 'setting']",61,0.9337,1
"All in all, I can assure you I'll be back.",1,all all i assure ill back,all all i assure ill back,"['all', 'all', 'i', 'assure', 'ill', 'back']",42,-0.1027,1
I hate those things as much as cheap quality black olives.,0,i hate things much cheap quality black,i hate thing much cheap quality black,"['i', 'hate', 'thing', 'much', 'cheap', 'quality', 'black']",58,-0.5719,0
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1,my breakfast great beautiful presentation,my breakfast great beautiful presentation,"['my', 'breakfast', 'great', 'beautiful', 'presentation']",126,0.8402,1
The kids play area is NASTY!,0,the kids area nasty,the kid area nasty,"['the', 'kid', 'area', 'nasty']",28,-0.5574,0
Great place fo take out or eat in.,1,great place take eat in,great place take eat in,"['great', 'place', 'take', 'eat', 'in']",34,0.6249,1
The waitress was friendly and happy to accomodate for vegan/veggie options.,1,the waitress friendly happy options,the waitress friendly happy option,"['the', 'waitress', 'friendly', 'happy', 'option']",75,0.7845,1
OMG I felt like I had never eaten Thai food until this dish.,1,omg i felt like i never eaten thai food until dish,omg i felt like i never eaten thai food until dish,"['omg', 'i', 'felt', 'like', 'i', 'never', 'eaten', 'thai', 'food', 'until', 'dish']",60,0.3612,1
"It was extremely ""crumby"" and pretty tasteless.",0,it extremely pretty tasteless,it extremely pretty tasteless,"['it', 'extremely', 'pretty', 'tasteless']",47,0.5413,1
It was a pale color instead of nice and char and has NO flavor.,0,it color nice char no flavor,it color nice char no flavor,"['it', 'color', 'nice', 'char', 'no', 'flavor']",63,0.1531,0
The croutons also taste homemade which is an extra plus.,1,the also taste homemade extra plus,the also taste homemade extra plus,"['the', 'also', 'taste', 'homemade', 'extra', 'plus']",56,0.0,0
I got home to see the driest damn wings ever!,0,i got home see driest damn wings ever,i got home see driest damn wing ever,"['i', 'got', 'home', 'see', 'driest', 'damn', 'wing', 'ever']",45,-0.4019,0
It'll be a regular stop on my trips to Phoenix!,1,regular stop phoenix,regular stop phoenix,"['regular', 'stop', 'phoenix']",47,-0.296,0
Not good for the money.,0,not good money,not good money,"['not', 'good', 'money']",23,-0.3412,0
I miss it and wish they had one in Philadelphia!,1,i one,i one,"['i', 'one']",48,0.0,1
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0,we got sitting fairly fast but ended waiting minutes place order another minutes food arrived,we got sitting fairly fast but ended waiting minute place order another minute food arrived,"['we', 'got', 'sitting', 'fairly', 'fast', 'but', 'ended', 'waiting', 'minute', 'place', 'order', 'another', 'minute', 'food', 'arrived']",129,0.0,0
They also have the best cheese crisp in town.,1,they also best cheese town,they also best cheese town,"['they', 'also', 'best', 'cheese', 'town']",45,0.6369,1
"Good value, great food, great service.",1,good value great food great service,good value great food great service,"['good', 'value', 'great', 'food', 'great', 'service']",38,0.926,1
Couldn't ask for a more satisfying meal.,1,ask satisfying meal,ask satisfying meal,"['ask', 'satisfying', 'meal']",40,0.4588,1
The food is good.,1,the food good,the food good,"['the', 'food', 'good']",17,0.4404,1
It was awesome.,1,it awesome,it awesome,"['it', 'awesome']",15,0.6249,1
I just wanted to leave.,0,i wanted leave,i wanted leave,"['i', 'wanted', 'leave']",23,-0.0516,0
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,we made drive way i not one bit disappointed,we made drive way i not one bit disappointed,"['we', 'made', 'drive', 'way', 'i', 'not', 'one', 'bit', 'disappointed']",90,0.3724,1
I will not be eating there again.,0,i not eating again,i not eating again,"['i', 'not', 'eating', 'again']",33,0.0,0
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0,the owners really really need cheap let wrap sandwich two not one,the owner really really need cheap let wrap sandwich two not one,"['the', 'owner', 'really', 'really', 'need', 'cheap', 'let', 'wrap', 'sandwich', 'two', 'not', 'one']",120,0.0,0
I checked out this place a couple years ago and was not impressed.,0,i checked place couple years ago not impressed,i checked place couple year ago not impressed,"['i', 'checked', 'place', 'couple', 'year', 'ago', 'not', 'impressed']",66,-0.3724,0
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0,the chicken i got definitely ok cold soggy,the chicken i got definitely ok cold soggy,"['the', 'chicken', 'i', 'got', 'definitely', 'ok', 'cold', 'soggy']",90,0.5994,1
"Sorry, I will not be getting food from here anytime soon :(",0,i not getting food anytime soon,i not getting food anytime soon,"['i', 'not', 'getting', 'food', 'anytime', 'soon']",59,0.0,0
An absolute must visit!,1,an must visit,an must visit,"['an', 'must', 'visit']",23,0.0,0
The cow tongue and cheek tacos are amazing.,1,the cow tacos amazing,the cow taco amazing,"['the', 'cow', 'taco', 'amazing']",43,0.5859,1
My friend did not like his Bloody Mary.,0,my friend not like,my friend not like,"['my', 'friend', 'not', 'like']",39,0.2709,1
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0,hard i actually rare give star,hard i actually rare give star,"['hard', 'i', 'actually', 'rare', 'give', 'star']",78,-0.1027,1
They really want to make your experience a good one.,1,they really want make experience good one,they really want make experience good one,"['they', 'really', 'want', 'make', 'experience', 'good', 'one']",52,0.5413,1
I will not return.,0,i not return,i not return,"['i', 'not', 'return']",18,0.0,0
I had the chicken Pho and it tasted very bland.,0,i chicken pho tasted bland,i chicken pho tasted bland,"['i', 'chicken', 'pho', 'tasted', 'bland']",47,0.0,0
Very disappointing!!!,0,very disappointing,very disappointing,"['very', 'disappointing']",21,-0.5413,0
The grilled chicken was so tender and yellow from the saffron seasoning.,1,the grilled chicken tender,the grilled chicken tender,"['the', 'grilled', 'chicken', 'tender']",72,0.0,0
"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0,drive means not want wait around half hour food end going make us wait wait,drive mean not want wait around half hour food end going make u wait wait,"['drive', 'mean', 'not', 'want', 'wait', 'around', 'half', 'hour', 'food', 'end', 'going', 'make', 'u', 'wait', 'wait']",147,-0.0572,0
Pretty awesome place.,1,pretty awesome place,pretty awesome place,"['pretty', 'awesome', 'place']",21,0.8074,1
Ambience is perfect.,1,ambience perfect,ambience perfect,"['ambience', 'perfect']",20,0.5719,1
Best of luck to the rude and non-customer service focused new management.,0,best rude service focused new management,best rude service focused new management,"['best', 'rude', 'service', 'focused', 'new', 'management']",73,0.5859,1
Any grandmother can make a roasted chicken better than this one.,0,make roasted chicken better one,make roasted chicken better one,"['make', 'roasted', 'chicken', 'better', 'one']",64,0.4404,1
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,0,i asked multiple times wine list time i went got one,i asked multiple time wine list time i went got one,"['i', 'asked', 'multiple', 'time', 'wine', 'list', 'time', 'i', 'went', 'got', 'one']",119,0.0,0
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1,the staff always super friendly helpful especially cool bring two small baby,the staff always super friendly helpful especially cool bring two small baby,"['the', 'staff', 'always', 'super', 'friendly', 'helpful', 'especially', 'cool', 'bring', 'two', 'small', 'baby']",114,0.9099,1
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1,stars food guy great vibe still us eat,star food guy great vibe still u eat,"['star', 'food', 'guy', 'great', 'vibe', 'still', 'u', 'eat']",101,0.6249,1
The roast beef sandwich tasted really good!,1,the roast beef sandwich tasted really good,the roast beef sandwich tasted really good,"['the', 'roast', 'beef', 'sandwich', 'tasted', 'really', 'good']",43,0.4927,1
"Same evening, him and I are both drastically sick.",0,evening i sick,evening i sick,"['evening', 'i', 'sick']",50,-0.5106,0
High-quality chicken on the chicken Caesar salad.,1,chicken chicken salad,chicken chicken salad,"['chicken', 'chicken', 'salad']",49,0.0,0
Ordered burger rare came in we'll done.,0,ordered burger rare came well done,ordered burger rare came well done,"['ordered', 'burger', 'rare', 'came', 'well', 'done']",39,0.2732,0
We were promptly greeted and seated.,1,we seated,we seated,"['we', 'seated']",36,0.0,1
Tried to go here for lunch and it was a madhouse.,0,tried go lunch,tried go lunch,"['tried', 'go', 'lunch']",49,0.0,0
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1,i wrong sushi bar not quality great service fast food impeccable,i wrong sushi bar not quality great service fast food impeccable,"['i', 'wrong', 'sushi', 'bar', 'not', 'quality', 'great', 'service', 'fast', 'food', 'impeccable']",131,-0.7502,0
"After waiting an hour and being seated, I was not in the greatest of moods.",0,after waiting hour seated i not,after waiting hour seated i not,"['after', 'waiting', 'hour', 'seated', 'i', 'not']",75,0.0,0
This is a good joint.,1,this good joint,this good joint,"['this', 'good', 'joint']",21,0.4404,1
The Macarons here are insanely good.,1,the good,the good,"['the', 'good']",36,0.4404,1
I'm not eating here!,0,im not eating here,im not eating here,"['im', 'not', 'eating', 'here']",20,0.0,0
"Our waiter was very attentive, friendly, and informative.",1,our waiter attentive friendly,our waiter attentive friendly,"['our', 'waiter', 'attentive', 'friendly']",57,0.4939,1
Maybe if they weren't cold they would have been somewhat edible.,0,maybe cold would edible,maybe cold would edible,"['maybe', 'cold', 'would', 'edible']",64,0.0,0
This place has a lot of promise but fails to deliver.,0,this place lot promise,this place lot promise,"['this', 'place', 'lot', 'promise']",53,0.3182,0
Very bad Experience!,0,very bad experience,very bad experience,"['very', 'bad', 'experience']",20,-0.5849,0
What a mistake.,0,what mistake,what mistake,"['what', 'mistake']",15,-0.34,0
Food was average at best.,0,food average best,food average best,"['food', 'average', 'best']",25,0.6369,1
Great food.,1,great food,great food,"['great', 'food']",11,0.6249,1
We won't be going back anytime soon!,0,we wont going back anytime soon,we wont going back anytime soon,"['we', 'wont', 'going', 'back', 'anytime', 'soon']",36,0.0,0
Very Very Disappointed ordered the $35 Big Bay Plater.,0,very very disappointed ordered big bay,very very disappointed ordered big bay,"['very', 'very', 'disappointed', 'ordered', 'big', 'bay']",54,-0.5678,0
Great place to relax and have an awesome burger and beer.,1,great place awesome burger beer,great place awesome burger beer,"['great', 'place', 'awesome', 'burger', 'beer']",57,0.8481,1
It is PERFECT for a sit-down family meal or get together with a few friends.,1,it perfect family meal get friends,it perfect family meal get friend,"['it', 'perfect', 'family', 'meal', 'get', 'friend']",76,0.7845,1
"Not much flavor to them, and very poorly constructed.",0,not much flavor them,not much flavor them,"['not', 'much', 'flavor', 'them']",53,0.0,0
The patio seating was very comfortable.,1,the patio seating comfortable,the patio seating comfortable,"['the', 'patio', 'seating', 'comfortable']",39,0.5106,1
The fried rice was dry as well.,0,the fried rice dry well,the fried rice dry well,"['the', 'fried', 'rice', 'dry', 'well']",31,0.2732,1
Hands down my favorite Italian restaurant!,1,hands favorite italian restaurant,hand favorite italian restaurant,"['hand', 'favorite', 'italian', 'restaurant']",42,0.7351,1
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1,that legit also pretty rare vegas,that legit also pretty rare vega,"['that', 'legit', 'also', 'pretty', 'rare', 'vega']",81,0.4939,1
It was just not a fun experience.,1,it not fun experience,it not fun experience,"['it', 'not', 'fun', 'experience']",33,-0.4023,0
The atmosphere was great with a lovely duo of violinists playing songs we requested.,1,the atmosphere great lovely playing,the atmosphere great lovely playing,"['the', 'atmosphere', 'great', 'lovely', 'playing']",84,0.8658,1
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1,i love hummus pita its amazing eggplant,i love hummus pita it amazing eggplant,"['i', 'love', 'hummus', 'pita', 'it', 'amazing', 'eggplant']",114,0.6808,1
"Very convenient, since we were staying at the MGM!",1,very convenient since staying,very convenient since staying,"['very', 'convenient', 'since', 'staying']",50,0.0,0
The owners are super friendly and the staff is courteous.,1,the owners super friendly staff,the owner super friendly staff,"['the', 'owner', 'super', 'friendly', 'staff']",57,0.7964,1
Both great!,1,both great,both great,"['both', 'great']",11,0.6249,1
Eclectic selection.,1,selection,selection,['selection'],19,0.0,0
The sweet potato tots were good but the onion rings were perfection or as close as I have had.,1,the sweet potato tots good perfection close i had,the sweet potato tot good perfection close i had,"['the', 'sweet', 'potato', 'tot', 'good', 'perfection', 'close', 'i', 'had']",94,0.8625,1
The staff was very attentive.,1,the staff attentive,the staff attentive,"['the', 'staff', 'attentive']",29,0.0,0
And the chef was generous with his time (even came around twice so we can take pictures with him).,1,and chef generous time even came around twice take him,and chef generous time even came around twice take him,"['and', 'chef', 'generous', 'time', 'even', 'came', 'around', 'twice', 'take', 'him']",98,0.5106,1
"The owner used to work at Nobu, so this place is really similar for half the price.",1,the owner used work place really similar half price,the owner used work place really similar half price,"['the', 'owner', 'used', 'work', 'place', 'really', 'similar', 'half', 'price']",83,0.0,0
Google mediocre and I imagine Smashburger will pop up.,0,mediocre i pop up,mediocre i pop up,"['mediocre', 'i', 'pop', 'up']",54,0.0,0
dont go here.,0,dont go here,dont go here,"['dont', 'go', 'here']",13,0.0,0
I promise they won't disappoint.,1,i promise wont disappoint,i promise wont disappoint,"['i', 'promise', 'wont', 'disappoint']",32,0.5511,1
As a sushi lover avoid this place by all means.,0,as sushi avoid place means,a sushi avoid place mean,"['a', 'sushi', 'avoid', 'place', 'mean']",47,-0.296,1
What a great double cheeseburger!,1,what great double cheeseburger,what great double cheeseburger,"['what', 'great', 'double', 'cheeseburger']",33,0.6249,1
Awesome service and food.,1,awesome service food,awesome service food,"['awesome', 'service', 'food']",25,0.6249,1
A fantastic neighborhood gem !!!,1,a fantastic neighborhood,a fantastic neighborhood,"['a', 'fantastic', 'neighborhood']",32,0.5574,1
I can't wait to go back.,1,i cant wait go back,i cant wait go back,"['i', 'cant', 'wait', 'go', 'back']",24,0.0,0
The plantains were the worst I've ever tasted.,0,the worst ive ever tasted,the worst ive ever tasted,"['the', 'worst', 'ive', 'ever', 'tasted']",46,-0.6249,0
It's a great place and I highly recommend it.,1,its great place i highly recommend it,it great place i highly recommend it,"['it', 'great', 'place', 'i', 'highly', 'recommend', 'it']",45,0.7841,1
Service was slow and not attentive.,0,service slow not attentive,service slow not attentive,"['service', 'slow', 'not', 'attentive']",35,0.0,0
"I gave it 5 stars then, and I'm giving it 5 stars now.",1,i gave stars then im stars now,i gave star then im star now,"['i', 'gave', 'star', 'then', 'im', 'star', 'now']",54,0.0,1
Your staff spends more time talking to themselves than me.,0,your staff time me,your staff time me,"['your', 'staff', 'time', 'me']",58,0.0,0
Dessert: Panna Cotta was amazing.,1,dessert amazing,dessert amazing,"['dessert', 'amazing']",33,0.5859,1
"Very good food, great atmosphere.1",1,very good food great atmosphere,very good food great atmosphere,"['very', 'good', 'food', 'great', 'atmosphere']",34,0.8204,1
Damn good steak.,1,damn good steak,damn good steak,"['damn', 'good', 'steak']",16,0.0516,1
Total brunch fail.,0,total brunch fail,total brunch fail,"['total', 'brunch', 'fail']",18,-0.5423,0
"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",1,prices reasonable spot on sauce home made not,price reasonable spot on sauce home made not,"['price', 'reasonable', 'spot', 'on', 'sauce', 'home', 'made', 'not']",110,0.0,1
"The decor is nice, and the piano music soundtrack is pleasant.",1,the decor nice music pleasant,the decor nice music pleasant,"['the', 'decor', 'nice', 'music', 'pleasant']",62,0.7269,1
